0 1 2
2 3 2
4 5 2
6 7 2
8 9 3
10 11 3
12 13 3
14 15 3
16 4 3
17 18 3
17 19 3
20 21 3
22 23 3
24 6 4
12 15 4
25 26 4
27 28 4
29 14 4
30 31 4
32 33 4
34 35 5
12 36 5
37 38 5
13 11 5
39 19 5
1 40 5
11 41 5
42 43 5
44 45 6
15 24 6
46 47 6
48 49 6
37 50 6
35 13 6
11 6 6
6 51 6
52 44 7
33 53 7
54 13 7
51 25 7
55 20 7
17 50 7
33 44 8
25 44 8
56 22 8
57 47 8
29 58 8
29 59 8
35 51 9
1 6 9
19 43 10
5 25 10
60 45 10
39 37 10
61 62 10
63 4 10
49 11 10
3 64 11
65 57 11
27 66 11
55 67 11
47 53 11
68 2 12
0 45 12
2 7 12
33 69 12
29 70 12
29 62 12
55 71 12
55 32 12
8 3 13
44 60 13
25 21 13
57 29 13
20 2 13
6 61 13
59 72 14
59 39 14
14 46 14
0 64 15
0 33 15
59 67 15
57 73 15
60 57 15
29 68 15
35 6 15
2 74 16
19 75 16
54 76 16
55 70 16
77 78 16
1 32 16
36 53 17
8 45 17
15 38 17
40 79 17
61 35 17
6 75 17
49 80 17
36 21 18
44 81 18
56 18 18
46 15 18
55 77 18
40 68 18
80 55 18
44 13 19
75 54 19
16 62 19
51 52 19
20 45 19
1 9 19
61 0 19
73 49 19
49 21 19
10 6 20
34 71 20
52 0 20
12 46 20
25 76 20
19 25 20
56 53 20
56 11 20
4 66 20
55 82 20
83 37 20
43 3 21
14 65 21
37 35 21
54 41 21
51 13 21
55 28 21
84 17 21
52 50 22
60 6 22
29 0 22
1 32 22
11 3 22
36 85 23
0 75 23
14 6 23
48 16 23
72 47 23
55 30 23
39 55 23
39 20 23
52 59 24
1 10 24
63 85 24
49 41 24
34 26 25
72 38 25
51 77 25
86 76 26
34 10 26
2 87 26
72 51 26
54 80 26
13 49 26
55 80 26
47 88 26
57 70 27
83 14 27
36 37 28
8 79 28
0 47 28
32 38 28
82 51 29
66 38 29
2 61 29
25 31 29
57 35 29
6 89 29
25 11 30
37 31 30
13 7 30
29 87 30
61 26 30
8 46 31
12 22 31
48 23 31
72 23 31
17 19 31
22 30 31
61 90 31
73 79 31
12 51 32
33 79 32
14 24 32
56 82 32
15 62 32
5 3 32
55 9 32
40 25 32
84 32 32
52 87 33
33 29 33
5 91 33
5 52 33
60 50 33
35 69 33
49 60 33
91 55 34
85 24 34
42 83 34
87 84 35
87 49 35
49 71 35
92 30 36
59 3 36
44 3 36
13 11 36
51 30 36
55 23 36
42 19 36
10 82 37
92 82 37
2 80 37
72 64 37
2 77 38
19 60 38
60 47 38
17 76 38
83 59 38
83 46 38
83 61 38
20 31 38
73 65 38
84 28 38
33 45 39
33 61 39
25 80 39
27 55 39
29 93 39
61 94 39
52 3 40
43 59 40
2 13 40
33 45 40
33 35 40
25 48 40
59 91 41
85 11 41
54 10 41
9 75 41
35 19 41
84 55 41
71 75 42
36 74 42
10 55 42
25 28 42
13 25 42
4 94 42
51 70 42
77 0 42
61 11 42
0 36 43
33 23 43
14 13 43
37 39 43
30 18 43
2 60 44
33 46 44
46 73 44
27 88 44
39 35 44
35 13 44
61 37 44
48 45 45
30 92 45
12 17 46
59 72 46
59 72 46
27 34 46
57 8 46
13 31 46
51 38 46
73 65 46
70 39 47
66 21 47
2 9 47
87 67 47
54 27 47
35 3 47
42 18 47
32 94 47
10 47 48
51 24 48
55 18 48
40 39 48
95 96 49
36 92 49
59 32 49
25 35 49
15 30 49
60 22 49
16 38 49
49 56 49
34 7 50
43 23 50
43 37 50
12 47 50
56 88 50
94 73 50
20 23 50
47 65 50
76 69 51
0 27 51
51 83 51
55 42 51
77 10 51
49 31 51
36 20 52
0 41 52
52 49 52
16 45 52
55 62 52
22 97 52
73 84 52
63 77 52
70 58 53
2 93 53
25 30 53
9 31 53
83 81 53
59 55 54
33 25 54
25 62 54
27 41 54
16 13 54
92 93 55
12 49 55
27 26 55
48 78 55
13 63 55
39 21 55
11 80 55
80 31 55
93 96 56
93 54 56
8 88 56
16 26 56
39 1 56
35 9 56
63 45 56
2 10 57
33 97 57
87 37 57
48 69 57
37 86 57
60 85 57
39 73 57
21 56 58
97 72 58
2 45 58
44 40 58
83 50 58
20 83 58
91 0 59
36 39 59
52 9 59
33 65 59
33 85 59
60 67 59
29 12 59
35 62 59
66 67 60
12 54 60
33 49 60
14 52 60
19 9 60
48 3 60
60 51 60
9 53 60
6 68 60
84 97 60
93 35 61
19 8 61
54 41 61
13 29 61
29 94 61
42 54 61
92 26 62
65 47 62
27 56 62
17 19 62
65 33 63
65 75 63
2 16 63
85 18 63
14 63 63
83 62 63
66 87 64
44 40 64
19 75 64
57 56 64
54 63 64
83 78 64
6 1 64
63 91 64
30 23 64
3 46 65
0 16 65
10 80 65
12 25 65
65 0 65
48 38 65
72 89 65
72 94 65
9 30 65
20 32 65
10 25 66
85 72 66
19 15 66
54 73 66
29 44 66
80 62 66
80 57 66
72 88 67
11 21 67
2 87 68
2 84 68
25 74 68
87 23 68
60 62 68
54 81 68
55 38 68
63 14 68
43 3 69
65 9 69
27 93 69
37 8 69
29 25 69
22 82 69
63 75 69
0 63 70
92 25 70
19 9 70
5 76 70
75 63 70
4 54 70
40 73 70
17 5 70
73 14 70
84 63 70
42 23 70
93 66 71
34 33 71
66 51 71
37 57 71
6 79 71
6 15 71
84 41 71
49 26 71
85 17 72
16 46 72
4 35 72
9 94 72
35 9 72
35 7 72
30 23 72
37 10 73
83 64 73
22 83 73
61 83 73
42 9 73
8 95 74
27 62 74
84 30 74
42 22 74
36 7 75
92 36 75
92 7 75
52 72 75
33 87 75
37 90 75
83 31 75
47 83 75
82 54 76
92 73 76
